id,labels,metric_id,name,task_id,timestamp,value
5649,Metric:BodyLayer,mostly7a-7e5b-4e7f-9ca5-499d004ae545,cpu_usage,mostly00-2c94-46c2-9b50-a42b7498139b,2025-01-20T06:37:00.000000000+00:00,73.056
5650,Metric:BodyLayer,mostly7a-3e70-416a-9548-5822de1b372a,throughput,mostly00-3d90-47ce-8b58-74eae8a21ffa,2025-05-09T07:12:20.000000000+00:00,60.466
5651,Metric:BodyLayer,mostlycc-ded7-43e8-b421-eaeb534097ca,cpu_usage,mostly00-3e2b-4b69-8e7d-df5da795c16b,2025-08-01T08:56:05.000000000+00:00,33.499
5652,Metric:BodyLayer,mostly2e-9148-424f-aac1-c14f30e9c5cc,cpu_usage,mostly00-4406-441e-b6cb-af0c5356ba41,2025-10-03T19:50:00.000000000+00:00,37.618
5653,Metric:BodyLayer,mostly33-f7b0-47d2-8da8-056c3d15eef7,memory_usage,mostly00-49ec-4d71-913e-56e8141e7992,2024-08-27T14:30:27.000000000+00:00,64.237
5654,Metric:BodyLayer,mostlyc3-72ae-4244-8b01-63c1cd9d2b7d,cpu_usage,mostly00-5ba7-4d61-9cc5-a24cfc65cf5b,2025-06-28T08:12:49.000000000+00:00,72.827
5655,Metric:BodyLayer,mostly60-51ef-4922-be43-c49e149818d1,cpu_usage,mostly00-7e47-491d-a1c9-5c102f62850c,2025-08-29T19:43:09.000000000+00:00,72.675
5656,Metric:BodyLayer,mostly02-eece-428b-bf7b-118e820865d6,cpu_usage,mostly00-8ce1-4115-95fd-ddc26ff809f9,2025-09-30T22:41:05.000000000+00:00,69.06
5657,Metric:BodyLayer,mostly03-8d1f-49b7-8d2b-9deb1beb3711,cpu_usage,mostly00-b487-4d95-a148-6386f0a6144e,2025-10-03T19:50:00.000000000+00:00,107.19
5658,Metric:BodyLayer,mostly3a-8c25-466a-9ff3-9849b4e1357d,cpu_usage,mostly00-b48b-4823-8fb9-aaced145b2ee,2025-01-07T22:21:37.510000000+00:00,73.006
5659,Metric:BodyLayer,mostly5c-8a50-46c1-ac18-8efbd080e66e,cpu_usage,mostly00-be6e-4379-a155-0dcb4731e482,2025-01-09T10:56:05.000000000+00:00,63.249
5660,Metric:BodyLayer,mostlya7-9a6a-4f92-8ca7-4147f6be1f72,cpu_usage,mostly00-cf1e-4e15-ac6b-4ff7930a15e8,2025-10-03T19:50:00.000000000+00:00,73.68
5661,Metric:BodyLayer,mostly6d-71ea-4d05-89a3-e80e966e1277,gpu_utilization,mostly00-e87d-44a7-91ba-aa8441c68020,2025-06-10T04:27:00.000000000+00:00,0.945
5662,Metric:BodyLayer,mostly7c-6288-41a5-8c45-782198a6416d,accuracy,mostly01-0368-43d3-b0b2-b569d7623e7a,2025-01-21T19:13:25.000000000+00:00,0.0
5663,Metric:BodyLayer,mostly54-4a53-48cc-bdfa-bc08935ddd72,cpu_usage,mostly01-0cf3-484a-b293-5cf5822da08a,2025-10-03T19:50:00.000000000+00:00,118.529
